시가,고가,저가,종가,거래량,금액(백만)
53000.0,53600.0,52700.0,53600.0,11887868.0,633333.0
52100.0,52900.0,52100.0,52900.0,14142583.0,742668.0
53400.0,53600.0,52400.0,52600.0,16706143.0,884145.0
53900.0,53900.0,52800.0,52800.0,21157172.0,1129431.0
52500.0,53200.0,52000.0,52400.0,17776925.0,934880.0
52800.0,53900.0,52200.0,53300.0,21575360.0,1146336.0
52100.0,53000.0,51900.0,51900.0,18541624.0,970495.0
51900.0,53900.0,51600.0,52900.0,24519552.0,1301306.0
52500.0,52800.0,51100.0,51400.0,18086152.0,937055.0
52000.0,52600.0,51800.0,52000.0,13801350.0,720718.0
52600.0,52900.0,51600.0,52900.0,18157985.0,950404.0
52200.0,52300.0,51600.0,52300.0,15982926.0,830793.0
52100.0,52900.0,51300.0,52200.0,26672595.0,1390772.0
51200.0,52100.0,50600.0,52100.0,21808375.0,1124879.0
51400.0,52000.0,49900.0,49900.0,28772921.0,1468000.0
52100.0,52800.0,51500.0,52300.0,26976019.0,1410311.0
54500.0,55100.0,53200.0,54300.0,33815123.0,1832274.0
55100.0,55900.0,54900.0,55400.0,16742493.0,927393.0
55800.0,56500.0,54400.0,55500.0,23998831.0,1326558.0
56400.0,56500.0,54700.0,54900.0,25634965.0,1418831.0
54400.0,55900.0,54000.0,55500.0,22743629.0,1254430.0
55800.0,57000.0,54600.0,54600.0,40220334.0,2236420.0
51800.0,55000.0,51700.0,54500.0,49257814.0,2655435.0
51000.0,51500.0,50800.0,51400.0,14247933.0,730124.0
50800.0,51200.0,50600.0,51200.0,16949183.0,864647.0
50000.0,50700.0,49700.0,50700.0,27596961.0,1390446.0
51100.0,51200.0,49900.0,50400.0,31309318.0,1585346.0
48950.0,50000.0,48800.0,49900.0,19548479.0,969952.0
48700.0,49450.0,48600.0,49250.0,15127490.0,742844.0
48750.0,48900.0,48450.0,48850.0,14337913.0,698563.0
49600.0,49800.0,48600.0,48750.0,19706284.0,965730.0
50300.0,50400.0,49850.0,49950.0,14949266.0,748343.0
50000.0,50200.0,49800.0,50000.0,14896899.0,744470.0
50100.0,50500.0,49700.0,50300.0,25168295.0,1261318.0
47950.0,49100.0,47600.0,48800.0,20481981.0,995409.0
48400.0,48450.0,47700.0,47850.0,18463118.0,887550.0
47750.0,48100.0,47650.0,48000.0,19305974.0,924044.0
47250.0,48550.0,47200.0,48550.0,20223277.0,966406.0
48400.0,48500.0,47550.0,47900.0,23433590.0,1122420.0
48900.0,49250.0,48300.0,48400.0,16357743.0,797524.0
49100.0,49350.0,48800.0,48800.0,15319700.0,752271.0
49200.0,49300.0,48700.0,48800.0,13884411.0,679669.0
49000.0,49200.0,48500.0,49200.0,18070225.0,882454.0
48900.0,49100.0,48500.0,48500.0,26083749.0,1270817.0
49900.0,50500.0,49600.0,50000.0,15604533.0,780706.0
49850.0,50100.0,49300.0,50100.0,16095399.0,800261.0
49350.0,50000.0,49100.0,49850.0,14049471.0,697231.0
49650.0,49750.0,49000.0,49350.0,15618347.0,771212.0
50200.0,50300.0,49500.0,49850.0,18754442.0,936174.0
48700.0,50000.0,48350.0,49850.0,18613864.0,912223.0
49400.0,49700.0,48700.0,49250.0,27407543.0,1347415.0
51400.0,51400.0,50000.0,50100.0,21866354.0,1106552.0
50800.0,52000.0,50300.0,51400.0,32041675.0,1641068.0
49350.0,49350.0,48550.0,49000.0,23349760.0,1143760.0
48800.0,49200.0,48300.0,49000.0,14206216.0,694513.0
48650.0,48900.0,48300.0,48300.0,14431800.0,700511.0
48950.0,49250.0,48650.0,49250.0,17839111.0,872177.0
49750.0,49800.0,48700.0,49100.0,22628058.0,1111936.0
49600.0,49750.0,48600.0,48600.0,25010314.0,1230375.0
49650.0,50200.0,49000.0,49600.0,31524034.0,1561333.0
47500.0,48800.0,47250.0,48700.0,23395726.0,1123254.0
47400.0,47600.0,46550.0,47000.0,22784682.0,1074180.0
46200.0,46850.0,45350.0,46800.0,21621076.0,997831.0
47450.0,47900.0,45800.0,45800.0,27259532.0,1282483.0
48000.0,48500.0,47150.0,47750.0,30654261.0,1467323.0
